10001, 2005-9-28, everbank, W, 899, 9458
10099, 2000-11-23, lucas oil, W, 2386, 1838
10100, 2004-7-15, candlestick, T, 3778, 8513
10101, 2014-7-10, gillette, W, 1427, 4285
10102, 2018-5-12, m&t bank, L, 4878, 5867
10103, 2007-1-30, cleveland browns, W, 3579, 793
10104, 2015-3-6, gillette, W, 1421, 6398
10105, 2003-8-11, hubert metrodome, W, 3597, 5866
10106, 2016-3-9, invesco, T, 1946, 4191
10107, 2004-1-22, gillette, W, 797, 4747
10108, 2013-7-10, giants, W, 2451, 2997
10109, 2018-10-22, soldier field ii, L, 232, 6806
10110, 2007-8-17, candlestick, T, 3822, 4357
10111, 2013-1-13, dolphin, W, 273, 3051
10112, 2003-7-14, bank of america, L, 3789, 6759
10113, 2000-6-8, arrowhead, L, 4047, 9734
10114, 2015-12-3, georgia dome, W, 1171, 7067
10115, 2003-9-17, invesco, T, 2021, 3881
10116, 2005-4-6, raymond james, L, 1273, 9789
10117, 2011-1-8, cleveland browns, L, 3337, 1958
10118, 2006-5-4, arrowhead, T, 2820, 721
10119, 2015-4-24, lincoln, L, 757, 3173
10120, 2018-7-9, lincoln, T, 2386, 8859
10121, 2013-1-24, everbank, W, 1168, 7130
10122, 2018-2-4, university of phoenix, L, 2593, 2271
10123, 2003-6-18, arrowhead, W, 709, 6221
10124, 2006-8-4, qwest, L, 615, 8162
10125, 2012-11-9, qwest, T, 2167, 5089
10126, 2011-10-4, cleveland browns, T, 4957, 9390
10127, 2010-8-23, lp, W, 4532, 8153
10128, 2010-4-8, louisiana superdome, W, 3306, 4243
10129, 2005-3-15, lincoln, W, 857, 9431
10130, 2001-7-17, edward jones, T, 233, 3484
10131, 2013-4-3, dolphin, T, 691, 3190
10132, 2002-10-11, edward jones, L, 1050, 5721
10133, 2008-8-14, m&t bank, L, 1103, 3294
10134, 2009-7-8, raymond james, W, 3373, 381
10135, 2015-11-21, paul brown, T, 2012, 8328
10136, 2007-3-24, fedexfield, L, 2556, 779
10137, 2017-9-29, soldier field ii, L, 355, 8403
10138, 2012-7-10, soldier field ii, T, 940, 9284
10139, 2011-8-27, invesco, L, 3379, 5013
10140, 2003-12-5, raymond james, T, 429, 7484
10141, 2013-10-11, bank of america, W, 927, 2992
10142, 2014-12-30, dallas cowboys, W, 3774, 5428
10143, 2000-11-11, heinz, T, 1931, 941
10144, 2006-6-26, ralph wilson, W, 2343, 575
10145, 2010-9-6, ford, L, 606, 7915
10146, 2004-8-5, arrowhead, L, 2740, 1106
10147, 2018-6-1, ralph wilson, T, 2229, 8249
10148, 2001-9-15, georgia dome, W, 4056, 112
10149, 2015-11-10, paul brown, T, 2122, 8403
10150, 2006-3-29, dolphin, W, 534, 5352
10151, 2015-10-10, raymond james, W, 4615, 6392
10152, 2011-4-22, soldier field ii, W, 4652, 8165
10153, 2004-4-7, candlestick, L, 386, 8603
10154, 2004-4-6, lambeau, W, 4084, 6990
10155, 2007-8-15, everbank, L, 4368, 836
10156, 2017-1-11, raymond james, T, 1116, 4024
10157, 2003-6-7, arrowhead, T, 800, 8657
10158, 2002-1-9, university of phoenix, W, 241, 3787
10159, 2015-2-30, university of phoenix, W, 1922, 1171
10160, 2016-10-4, gillette, L, 4404, 1015
10161, 2008-8-26, gillette, T, 2257, 158
10162, 2004-2-24, dallas cowboys, L, 4904, 9764
10163, 2017-11-20, raymond james, T, 3911, 8733
10164, 2018-9-23, edward jones, W, 1962, 3647
10165, 2009-12-30, ralph wilson, W, 1105, 6807
10166, 2006-10-28, candlestick, T, 3862, 1802
10167, 2002-8-26, qualcomm, L, 3460, 5123
10168, 2009-12-12, oakland-alameda, W, 673, 9115
10169, 2010-7-30, lucas oil, T, 4086, 1058
10170, 2000-10-14, edward jones, T, 4877, 6870
10171, 2011-2-14, lp, L, 4595, 5832
10172, 2014-1-26, georgia dome, L, 1454, 435
10173, 2001-9-20, dallas cowboys, W, 2121, 7085
10174, 2000-12-16, everbank, W, 885, 3647
10175, 2003-8-25, edward jones, L, 3608, 4723
10176, 2013-12-5, soldier field ii, T, 1683, 4360
10177, 2005-8-15, edward jones, L, 1824, 7631
10178, 2012-11-6, qualcomm, L, 4294, 8387
10179, 2018-12-25, ford, L, 4950, 4039
10180, 2011-7-10, m&t bank, L, 3456, 8449
10181, 2009-4-28, paul brown, L, 4236, 6987
10182, 2016-5-3, dolphin, L, 3310, 3046
10183, 2004-9-23, lincoln, W, 4740, 2801
10184, 2005-11-28, bank of america, L, 2861, 3697
10185, 2004-2-17, dolphin, L, 3893, 419
10186, 2003-7-21, hubert metrodome, L, 2914, 7459
10187, 2002-5-21, arrowhead, T, 3988, 8548
10188, 2003-4-17, arrowhead, T, 3829, 3322
10189, 2010-3-24, soldier field ii, W, 4248, 585
10190, 2008-3-7, lambeau, L, 4281, 2965
10191, 2000-2-19, louisiana superdome, T, 4687, 8986
10192, 2006-7-15, hubert metrodome, W, 3936, 5187
10193, 2002-6-7, qualcomm, L, 2099, 1854
10194, 2014-5-6, candlestick, T, 4863, 3751
10195, 2010-4-27, edward jones, W, 4756, 5633
10196, 2007-3-3, soldier field ii, T, 1249, 2459
10197, 2016-10-17, heinz, L, 4009, 4483
10198, 2008-3-14, oakland-alameda, W, 3806, 6621
10199, 2001-12-6, soldier field ii, T, 1024, 1130
10200, 2001-10-20, lucas oil, W, 2235, 2134
10201, 2012-11-9, fedexfield, L, 4563, 1016
10202, 2007-10-10, paul brown, T, 734, 103
10203, 2005-8-14, lincoln, T, 208, 303
10204, 2014-10-22, m&t bank, W, 799, 1017
10205, 2013-7-16, hubert metrodome, T, 4796, 9912
10206, 2000-9-22, lambeau, W, 1776, 6782
10207, 2003-4-4, dallas cowboys, W, 3732, 5238
10208, 2011-6-12, dallas cowboys, L, 4168, 8554
10209, 2017-8-11, lambeau, T, 1479, 5221
10210, 2018-3-21, raymond james, L, 751, 2287
10211, 2018-3-25, lp, W, 2060, 6642
10212, 2018-4-6, giants, W, 4849, 4643
10213, 2012-8-5, paul brown, L, 548, 8946
10214, 2010-6-7, lincoln, L, 287, 6688
10215, 2007-9-16, invesco, T, 4587, 7434
10216, 2018-11-15, candlestick, W, 2229, 3904
10217, 2002-3-27, bank of america, T, 1898, 767
10218, 2016-9-26, qwest, L, 2854, 1277
10219, 2018-5-5, qualcomm, W, 1454, 6299
10220, 2017-8-26, lp, W, 3676, 2493
10221, 2012-12-14, lucas oil, W, 1416, 8854
10222, 2018-7-8, qualcomm, L, 4115, 8235
10223, 2016-6-5, raymond james, T, 3184, 4470
10224, 2006-10-30, ford, T, 4822, 1836
10225, 2006-7-7, arrowhead, L, 4912, 2372
10226, 2000-6-28, ford, L, 2900, 2304
10227, 2003-7-11, candlestick, T, 792, 8704
10228, 2015-6-19, oakland-alameda, W, 2948, 692
10229, 2017-9-1, georgia dome, L, 3017, 2432
10230, 2014-5-19, lincoln, L, 2792, 3540
10231, 2016-6-21, giants, T, 2039, 5513
10232, 2004-2-21, raymond james, W, 4482, 6271
10233, 2012-5-27, university of phoenix, W, 4927, 9138
10234, 2018-9-8, giants, L, 3718, 419
10235, 2004-12-21, raymond james, L, 4179, 3832
10236, 2011-8-2, lucas oil, L, 958, 8319
10237, 2018-12-16, raymond james, W, 3508, 6347
10238, 2005-2-22, heinz, W, 4219, 1008
10239, 2012-11-23, dolphin, W, 3189, 7246
10240, 2016-1-13, dallas cowboys, L, 3308, 4493
10241, 2005-4-6, fedexfield, L, 3166, 9942
10242, 2013-8-24, cleveland browns, L, 3388, 4225
10243, 2006-3-4, invesco, L, 1864, 5068
10244, 2005-12-14, dallas cowboys, W, 4861, 7869
10245, 2008-8-2, dolphin, L, 3452, 5557
10246, 2001-9-19, lincoln, L, 1279, 2317
10247, 2009-6-15, everbank, T, 472, 6192
10248, 2005-8-25, qwest, W, 2999, 1888
10249, 2002-2-17, bank of america, T, 1376, 6868
10250, 2002-11-4, m&t bank, L, 1067, 1133
10251, 2015-2-22, soldier field ii, T, 4542, 2245
10252, 2001-5-20, lucas oil, T, 1560, 2610
10253, 2001-2-3, louisiana superdome, L, 4403, 930
10254, 2000-3-2, dolphin, W, 3984, 6254
10255, 2017-2-9, ralph wilson, T, 1933, 1703
10256, 2017-6-12, soldier field ii, T, 1832, 7242
10257, 2018-8-16, university of phoenix, L, 554, 2997
10258, 2012-4-28, edward jones, T, 3307, 4113
10259, 2018-2-7, georgia dome, L, 1708, 4124
10260, 2006-12-22, m&t bank, T, 2425, 1992
10261, 2010-6-23, oakland-alameda, L, 4819, 6374
10262, 2016-5-14, georgia dome, T, 3874, 212
10263, 2003-12-6, ralph wilson, T, 2592, 8673
10264, 2014-2-30, lambeau, W, 1487, 4235
10265, 2017-5-9, lincoln, W, 1193, 9844
10266, 2015-3-3, raymond james, W, 3494, 5051
10267, 2011-10-11, dallas cowboys, W, 4824, 7462
10268, 2001-8-30, ford, T, 4465, 608
10269, 2005-9-16, ralph wilson, L, 419, 8100
10270, 2018-8-10, qualcomm, W, 2304, 9827
10271, 2015-6-26, lincoln, T, 4598, 828
10272, 2001-9-2, edward jones, T, 3359, 7947
10273, 2015-12-28, qwest, T, 446, 5802
10274, 2003-12-25, giants, T, 3805, 6031
10275, 2005-3-16, reliant, T, 4042, 2553
10276, 2012-11-30, ford, W, 849, 4713
10277, 2012-12-24, bank of america, T, 2701, 6822
10278, 2001-9-1, dallas cowboys, T, 4251, 2870
10279, 2004-11-5, ford, L, 2912, 6002
10280, 2012-1-3, m&t bank, W, 2284, 3309
10281, 2005-3-4, lucas oil, T, 4764, 3966
10282, 2003-12-18, fedexfield, T, 2674, 4979
10283, 2009-10-13, soldier field ii, T, 3156, 5387
10284, 2012-1-6, gillette, T, 577, 9077
10285, 2018-5-1, gillette, W, 4616, 7815
10286, 2007-6-18, paul brown, T, 1344, 9120
10287, 2010-8-30, lp, W, 1693, 2389
10288, 2017-1-22, qwest, T, 4698, 1554
10289, 2016-4-1, louisiana superdome, L, 803, 3496
10290, 2007-11-21, georgia dome, T, 1037, 5895
10291, 2006-1-5, ford, T, 2188, 4960
10292, 2005-7-19, ralph wilson, W, 4927, 2623
10293, 2016-12-17, ralph wilson, T, 308, 3918
10294, 2015-7-15, heinz, W, 624, 1698
10295, 2005-8-25, candlestick, T, 2307, 9085
10296, 2013-9-21, qualcomm, W, 4258, 465
10297, 2015-2-1, louisiana superdome, W, 3889, 9816
10298, 2000-12-27, lambeau, T, 1906, 7192
10299, 2015-12-24, lincoln, T, 1357, 7980
10300, 2016-12-10, raymond james, W, 3638, 3259
10301, 2001-1-23, dolphin, L, 977, 4562
10302, 2005-1-19, lucas oil, W, 2345, 9572
10303, 2005-9-20, raymond james, L, 3817, 2058
10304, 2011-10-12, everbank, L, 2001, 6621
10305, 2005-11-12, gillette, W, 1858, 4555
10306, 2008-6-15, ralph wilson, L, 1491, 1154
10307, 2016-10-4, hubert metrodome, T, 4564, 166
10308, 2018-8-22, lincoln, L, 994, 7502
10309, 2014-7-12, everbank, W, 2499, 209
10310, 2005-11-2, dolphin, L, 3170, 3174
10311, 2009-10-14, giants, T, 3328, 2390
10312, 2008-8-28, georgia dome, L, 1290, 1038
10313, 2011-6-7, fedexfield, W, 4962, 5793
10314, 2006-6-20, edward jones, T, 4319, 6760
10315, 2002-5-17, ford, L, 1179, 2849
10316, 2010-7-25, georgia dome, L, 4123, 3336
10317, 2007-2-7, qwest, L, 100, 7270
10318, 2007-8-9, invesco, L, 4113, 4317
10319, 2006-1-5, candlestick, T, 3921, 3093
10320, 2009-3-10, lucas oil, W, 472, 1399
10321, 2013-9-12, lp, W, 1574, 4310
10322, 2017-12-20, louisiana superdome, L, 883, 5205
10323, 2016-5-26, edward jones, T, 323, 8820
10324, 2004-12-24, lucas oil, L, 3732, 1148
10325, 2000-3-8, fedexfield, L, 2279, 5888
10326, 2018-9-15, oakland-alameda, T, 2358, 8070
10327, 2005-7-14, lucas oil, L, 1634, 9936
10328, 2013-6-9, ford, L, 2063, 803
10329, 2009-12-29, ralph wilson, W, 3063, 8644
10330, 2016-6-10, georgia dome, T, 1199, 1353
10331, 2013-12-3, ralph wilson, W, 2232, 8131
10332, 2001-3-29, qualcomm, L, 4694, 9774
10333, 2000-10-21, candlestick, L, 4876, 5866
10334, 2015-6-18, invesco, L, 372, 3597
10335, 2011-7-11, lincoln, L, 655, 6729
10336, 2006-9-30, dallas cowboys, W, 3954, 2359
10337, 2007-12-9, invesco, L, 1915, 3503
10338, 2012-3-19, ford, L, 171, 5012
10339, 2012-2-2, gillette, L, 3895, 9142
10340, 2013-10-5, qualcomm, T, 4276, 8768
10341, 2013-10-30, gillette, T, 3776, 7095
10342, 2012-2-22, oakland-alameda, W, 2819, 9482
10343, 2018-5-3, fedexfield, W, 1569, 2619
10344, 2009-4-18, cleveland browns, W, 3161, 8499
10345, 2010-10-9, dolphin, T, 1945, 1032
10346, 2017-12-28, qualcomm, L, 672, 5479
10347, 2003-6-7, oakland-alameda, L, 4149, 4202
10348, 2010-1-20, giants, W, 247, 5351
10349, 2011-5-15, lucas oil, T, 1269, 6572
10350, 2001-1-12, ford, L, 2417, 7041
10351, 2015-9-29, candlestick, L, 1451, 7789
10352, 2001-7-17, gillette, W, 2337, 6138
10353, 2007-11-21, m&t bank, W, 2018, 5194
10354, 2014-1-4, university of phoenix, W, 678, 9589
10355, 2016-1-10, arrowhead, W, 2507, 3638
10356, 2017-3-27, gillette, T, 2063, 9198
10357, 2008-1-10, dolphin, L, 744, 3588
10358, 2007-6-29, qwest, L, 952, 4362
10359, 2013-9-5, university of phoenix, W, 1163, 1438
10360, 2009-1-30, candlestick, L, 4617, 1877
10361, 2015-7-10, arrowhead, W, 4039, 1121
10362, 2009-5-18, m&t bank, T, 2284, 8125
10363, 2005-12-14, ford, W, 3066, 3232
10364, 2009-8-16, giants, L, 339, 5603
10365, 2000-1-13, dallas cowboys, T, 3525, 2377
10366, 2011-8-22, dolphin, T, 3323, 4037
10367, 2014-4-12, heinz, W, 2550, 8703
10368, 2016-11-7, ralph wilson, L, 4006, 2142
10369, 2004-1-3, louisiana superdome, W, 1246, 9128
10370, 2002-2-1, fedexfield, W, 3454, 8854
10371, 2001-9-15, lucas oil, L, 4776, 3638
10372, 2018-12-26, dallas cowboys, W, 2024, 906
10373, 2006-7-23, university of phoenix, W, 2439, 3387
10374, 2006-8-14, invesco, L, 2386, 3636
10375, 2018-6-10, paul brown, L, 3613, 8982
10376, 2017-10-26, candlestick, T, 2929, 1052
10377, 2012-3-17, oakland-alameda, W, 1641, 9569
10378, 2017-5-29, ralph wilson, L, 4267, 6557
10379, 2007-8-28, oakland-alameda, W, 2355, 3858
10380, 2007-11-9, paul brown, W, 2908, 6171
10381, 2003-12-1, ford, L, 1976, 4101
10382, 2012-9-8, qwest, W, 1873, 7473
10383, 2006-11-13, qwest, T, 226, 912
10384, 2006-10-4, m&t bank, T, 850, 4087
10385, 2001-11-24, louisiana superdome, W, 4767, 8241
10386, 2006-11-1, fedexfield, L, 2381, 673
10387, 2001-1-7, dolphin, W, 3777, 4260
10388, 2007-2-11, fedexfield, T, 2667, 1533
10389, 2002-6-17, arrowhead, L, 4495, 2623
10390, 2010-11-27, qwest, L, 1508, 4909
10391, 2005-9-24, bank of america, L, 4414, 2732
10392, 2011-10-5, lincoln, W, 161, 4284
10393, 2004-11-6, ralph wilson, W, 2699, 266
10394, 2006-6-22, arrowhead, T, 247, 2383
10395, 2006-5-4, bank of america, T, 2738, 7062
10396, 2013-7-25, hubert metrodome, L, 3523, 1723
10397, 2010-1-13, oakland-alameda, T, 2276, 408
10398, 2008-10-9, reliant, L, 788, 6144
10399, 2012-10-16, candlestick, T, 2443, 4287
10400, 2012-6-16, m&t bank, L, 2163, 6995
10401, 2000-7-29, louisiana superdome, L, 1232, 2344
10402, 2015-3-16, arrowhead, L, 4159, 7843
10403, 2015-12-6, everbank, L, 906, 8133
10404, 2015-11-8, hubert metrodome, W, 1320, 2840
10405, 2011-3-16, bank of america, W, 2726, 2601
10406, 2007-1-29, dolphin, W, 569, 2028
10407, 2002-11-15, georgia dome, L, 2854, 2652
10408, 2015-9-3, paul brown, T, 3640, 3836
10409, 2018-5-10, dolphin, T, 3244, 6316
10410, 2007-10-25, hubert metrodome, L, 4018, 4939
10411, 2005-5-3, university of phoenix, T, 3839, 9538
10412, 2016-4-23, arrowhead, L, 2394, 1625
10413, 2015-9-22, bank of america, L, 3853, 9894
10414, 2007-12-7, lucas oil, W, 4856, 971
10415, 2013-12-23, gillette, T, 317, 6529
10416, 2005-1-21, reliant, T, 949, 1152
10417, 2017-8-2, candlestick, L, 4077, 7092
10418, 2002-2-8, ford, L, 4163, 5373
10419, 2010-5-10, georgia dome, T, 4406, 2525
10420, 2018-7-29, raymond james, L, 2960, 1137
10421, 2017-8-5, paul brown, W, 3893, 2857
10422, 2009-9-20, ford, L, 2516, 6854
10423, 2006-12-2, dolphin, L, 4816, 6433
10424, 2012-10-14, invesco, W, 1048, 981
10425, 2018-8-24, fedexfield, L, 3644, 885
10426, 2000-3-17, dolphin, W, 541, 7493
10427, 2002-5-5, invesco, T, 645, 4183
10428, 2007-7-10, lucas oil, T, 3305, 3865
10429, 2015-6-5, cleveland browns, T, 649, 6429
10430, 2016-12-24, candlestick, W, 1284, 7689
10431, 2014-6-7, qualcomm, W, 2186, 2126
10432, 2005-3-15, invesco, W, 1426, 3612
10433, 2002-6-28, reliant, L, 3504, 5580
10434, 2003-12-24, lp, W, 4185, 1719
10435, 2014-4-3, lp, L, 3631, 7143
10436, 2005-10-24, paul brown, L, 4679, 3888
10437, 2001-10-11, heinz, L, 3463, 1553
10438, 2018-12-3, qualcomm, T, 3920, 9620
10439, 2003-8-20, reliant, W, 2868, 3172
10440, 2009-2-30, hubert metrodome, L, 4709, 3059
10441, 2014-6-24, ford, T, 1970, 8824
10442, 2016-12-25, oakland-alameda, L, 4270, 3899
10443, 2001-7-28, university of phoenix, L, 156, 5401
10444, 2017-6-8, arrowhead, L, 3709, 5121
10445, 2017-11-10, edward jones, T, 356, 6534
10446, 2008-7-25, cleveland browns, W, 2764, 6324
10447, 2003-5-27, soldier field ii, T, 3806, 884
10448, 2001-1-26, everbank, L, 3655, 9158
10449, 2000-1-26, soldier field ii, W, 1395, 6295
10450, 2014-3-6, m&t bank, L, 4666, 5553
10451, 2005-5-24, oakland-alameda, T, 2881, 9973
10452, 2003-1-2, gillette, W, 3858, 3963
10453, 2009-12-2, lambeau, L, 2382, 4439
10454, 2011-2-12, m&t bank, L, 4483, 4921
10455, 2001-12-11, gillette, L, 1801, 7071
10456, 2016-1-17, paul brown, L, 1444, 2279
10457, 2016-12-4, louisiana superdome, L, 2792, 4523
10458, 2018-5-19, hubert metrodome, L, 491, 1255
10459, 2003-7-16, lincoln, T, 653, 2612
10460, 2004-4-9, lp, W, 4423, 2109
10461, 2005-4-27, ralph wilson, T, 1258, 2647
10462, 2005-2-3, everbank, L, 280, 1240
10463, 2004-9-3, ford, W, 3652, 1481
10464, 2008-7-26, arrowhead, T, 2968, 8316
10465, 2016-7-2, reliant, L, 4143, 6974
10466, 2004-5-1, everbank, W, 4323, 8132
10467, 2012-12-25, bank of america, T, 4657, 5731
10468, 2003-4-1, dallas cowboys, T, 4888, 5883
10469, 2002-12-25, qwest, L, 3006, 8330
10470, 2005-5-27, edward jones, L, 2547, 2231
10471, 2004-10-23, paul brown, W, 707, 8865
10472, 2014-7-14, raymond james, T, 650, 1691
10473, 2016-7-9, lambeau, W, 3009, 3074
10474, 2011-8-3, arrowhead, L, 689, 8536
10475, 2004-5-28, dallas cowboys, W, 2181, 2265
10476, 2006-4-15, georgia dome, T, 2298, 8266
10477, 2010-12-21, gillette, W, 877, 903
10478, 2015-2-29, lp, T, 2852, 8391
10479, 2005-1-4, oakland-alameda, W, 3850, 315
10480, 2008-11-3, dallas cowboys, L, 4085, 5426
10481, 2010-11-19, soldier field ii, T, 1713, 7401
10482, 2012-9-1, qualcomm, T, 1796, 6644
10483, 2011-9-16, ralph wilson, W, 2605, 4837
10484, 2012-4-14, candlestick, T, 4623, 7977
10485, 2001-2-8, paul brown, T, 550, 1076
10486, 2017-12-6, oakland-alameda, W, 557, 3801
10487, 2015-4-12, fedexfield, L, 2361, 5108
10488, 2000-11-4, fedexfield, W, 4366, 6959
10489, 2015-5-4, arrowhead, W, 615, 9669
10490, 2018-5-12, lambeau, L, 4028, 3794
10491, 2006-2-27, lp, W, 1023, 4980
10492, 2014-12-23, fedexfield, T, 3173, 5814
10493, 2007-7-22, arrowhead, T, 2610, 7675
10494, 2006-12-20, georgia dome, T, 4045, 1075
10495, 2008-12-13, paul brown, W, 4454, 9808
10496, 2012-2-9, lucas oil, L, 3438, 4067
10497, 2009-3-27, hubert metrodome, L, 1197, 1215
10498, 2008-12-25, cleveland browns, T, 237, 5992
10499, 2012-11-29, qualcomm, T, 4814, 4565
10500, 2011-6-25, bank of america, W, 721, 7289
10501, 2005-1-7, oakland-alameda, T, 3645, 1856
10502, 2012-10-7, reliant, T, 2992, 9572
10503, 2015-9-3, cleveland browns, T, 4844, 8630
10504, 2012-5-1, oakland-alameda, W, 4050, 172
10505, 2008-8-30, dolphin, T, 138, 8300
10506, 2003-8-23, fedexfield, T, 2289, 3396
10507, 2011-1-6, candlestick, W, 176, 7245
10508, 2015-2-28, everbank, T, 4078, 4070
10509, 2018-11-12, bank of america, L, 2568, 7169
10510, 2010-3-12, georgia dome, W, 3602, 4527
10511, 2001-2-18, reliant, W, 4615, 2822
10512, 2012-1-28, heinz, T, 2203, 7553
10513, 2002-9-27, paul brown, T, 4788, 2746
10514, 2016-2-26, raymond james, T, 655, 3335
10515, 2011-6-21, university of phoenix, W, 778, 3276
10516, 2005-12-29, lambeau, L, 4888, 7924
10517, 2011-5-6, lp, L, 4469, 9218
10518, 2017-4-8, fedexfield, T, 1708, 3281
10519, 2009-5-6, gillette, L, 974, 4105
10520, 2007-7-23, georgia dome, L, 4953, 1779
10521, 2016-5-12, gillette, T, 4479, 5792
10522, 2001-3-13, university of phoenix, W, 1759, 7780
10523, 2004-9-22, lincoln, T, 3794, 8457
10524, 2005-3-18, soldier field ii, L, 3967, 9726
10525, 2016-2-7, dolphin, L, 1762, 8757
10526, 2016-9-14, ralph wilson, W, 464, 5201
10527, 2005-3-6, ford, L, 4993, 4872
10528, 2015-11-28, candlestick, T, 1592, 6813
10529, 2017-7-29, fedexfield, T, 2263, 6218
10530, 2000-11-21, arrowhead, L, 421, 4263
10531, 2006-1-29, dallas cowboys, T, 3218, 7107
10532, 2012-2-25, arrowhead, L, 3242, 9570
